1,1,株式会社五幸,3900811,長野県松本市中央２丁目１番２４号,0263-39-8348,,太田　隆治,FALSE
2,1,株式会社　アイシンク,3900846,長野県松本市南原1丁目８番１１号,0263-25-2130,,赤羽　桂,FALSE
3,1,株式会社イーピーイ　松本営業所,3901301,東筑摩郡山形村北野尻8190,0263-92-5900,,,FALSE
4,1,株式会社イヌズカ,3990024,長野県松本市寿小赤258-6,0263-58-1301,,犬塚　義浩,FALSE
5,1,太田屋　松本本店,3900852,長野県松本市島立９６５－１,0263-47-8877,0263-47-8635,岩波　秀樹,FALSE
7,1,上條鋼材　株式会社,3901242,長野県松本市大字和田５５１１番地１４,0263-48-1334,,丸山　隆久,FALSE
8,1,株式会社開運堂,3900811,長野県松本市中央２丁目２番１５号,0263-32-0506,,渡邉　公志郎,FALSE
9,1,ゴルフ　コミュニティ　ウエストピーク,3900221,長野県松本市大字里山辺4318,0263-25-4111,,望月　勝治,FALSE
10,1,中部互光株式会社　長野営業所（松本）,3900815,長野県松本市深志2丁目5番2号　県信松本深志ビル7階,0263-39-3470,0263-39-3473,永田所長,FALSE
11,1,小林軽金属工業株式会社,3998201,長野県安曇野市豊科大字南穂高1083,0263-72-3873,,小林　今朝重,FALSE
13,1,株式会社守谷商会　松本支店,3900847,松本市笹部2丁目1番57号,0263-25-3505,,西澤　治,FALSE
14,1,特別養護老人ホーム常念荘,3998211,長野県安曇市堀金烏川2048番地2,0263-72-3611,0263-72-1128,丸山所長,FALSE
15,1,株式会社しづか,3900874,長野県松本市大手４丁目１０番８号,0263-32-0547,,市東　一也,FALSE
16,1,白百合幼稚園,3990032,長野県松本市芳川村井町サイカチ1383-ロ,0263-86-1084,,田中　茂樹,FALSE
17,1,すがの旅館,3990704,塩尻市広丘郷原1762,0263-52-1285,,百瀬　武人,FALSE
18,1,内湯　滝の湯旅館,3900221,長野県松本市里山辺110番地2号,0263-32-3284,,遠藤　照生,FALSE
19,1,第一貨物株式会社　松本支店,3901242,長野県松本市大字和田7088番地1,0263-40-5070,,遠藤　幸太郎,FALSE
21,1,徳澤園,3990000,長野県松本市安曇島々752,0263-94-2438,0263-94-2059,上條　敏昭,FALSE
22,1,長野県信用保証協会　松本支店,3900852,長野県松本市大字島立976番地1,0263-47-1533,0263-47-4209,伊藤　等,FALSE
24,1,中村製作所株式会社　穂高工場,3998300,長野県安曇野市穂高6783-1,0263-82-7611,,,FALSE
25,1,飯田機械金属工業株式会社,3950041,長野県飯田市中央通り2丁目2番,0265-22-1741,0265-22-1856,,FALSE
26,1,株式会社　平田商会,3950811,長野県飯田市松尾上溝2910番地８,0265-22-5544,,岡島　治,FALSE
29,1,Pensionメープル・リーフ,3998301,安曇野市穂高有明7717,0263-83-3883,,土屋　邦夫,FALSE
30,1,有限会社マル六,3990702,長野県塩尻市広丘野村1654-5,0263-53-2248,,上條　秀夫,FALSE
